Timestamp,ViolationType,Confidence,SnapshotPath
2025-10-03 14:45:05,no_vest,0.59,snapshots\20251003_144505_no_vest.jpg
2025-10-03 14:45:06,no_helmet,0.74,snapshots\20251003_144506_no_helmet.jpg
2025-10-03 14:45:07,no_helmet,0.54,snapshots\20251003_144507_no_helmet.jpg
2025-10-03 14:45:08,no_helmet,0.59,snapshots\20251003_144508_no_helmet.jpg
2025-10-03 14:45:08,no_vest,0.58,snapshots\20251003_144508_no_vest.jpg
2025-10-03 14:45:12,no_helmet,0.59,snapshots\20251003_144512_no_helmet.jpg
2025-10-03 14:45:13,no_helmet,0.63,snapshots\20251003_144513_no_helmet.jpg
2025-10-03 14:45:14,no_vest,0.58,snapshots\20251003_144514_no_vest.jpg
2025-10-03 14:45:14,no_helmet,0.55,snapshots\20251003_144514_no_helmet.jpg
2025-10-03 14:45:15,no_vest,0.60,snapshots\20251003_144515_no_vest.jpg
2025-10-03 14:45:15,no_vest,0.53,snapshots\20251003_144515_no_vest.jpg
2025-10-03 14:45:18,no_vest,0.55,snapshots\20251003_144518_no_vest.jpg
2025-10-03 14:45:21,no_vest,0.60,snapshots\20251003_144521_no_vest.jpg
2025-10-03 14:45:21,no_vest,0.53,snapshots\20251003_144521_no_vest.jpg
2025-10-03 14:45:22,no_vest,0.54,snapshots\20251003_144522_no_vest.jpg
2025-10-03 14:45:23,no_vest,0.54,snapshots\20251003_144523_no_vest.jpg
2025-10-03 14:45:24,no_helmet,0.64,snapshots\20251003_144524_no_helmet.jpg
2025-10-03 14:45:24,no_vest,0.59,snapshots\20251003_144524_no_vest.jpg
2025-10-03 14:45:24,no_helmet,0.57,snapshots\20251003_144524_no_helmet.jpg
2025-10-03 14:45:24,no_vest,0.53,snapshots\20251003_144524_no_vest.jpg
2025-10-03 14:45:25,no_helmet,0.55,snapshots\20251003_144525_no_helmet.jpg
2025-10-03 14:45:25,no_vest,0.55,snapshots\20251003_144525_no_vest.jpg
2025-10-03 14:45:26,no_vest,0.57,snapshots\20251003_144526_no_vest.jpg
2025-10-03 14:45:26,no_vest,0.55,snapshots\20251003_144526_no_vest.jpg
2025-10-03 14:45:27,no_vest,0.58,snapshots\20251003_144527_no_vest.jpg
2025-10-03 14:45:28,no_vest,0.55,snapshots\20251003_144528_no_vest.jpg
2025-10-03 14:45:29,no_vest,0.59,snapshots\20251003_144529_no_vest.jpg
2025-10-03 14:45:29,no_vest,0.55,snapshots\20251003_144529_no_vest.jpg
2025-10-03 14:45:29,no_helmet,0.51,snapshots\20251003_144529_no_helmet.jpg
2025-10-03 14:45:29,no_vest,0.51,snapshots\20251003_144529_no_vest.jpg
2025-10-03 14:45:30,no_vest,0.58,snapshots\20251003_144530_no_vest.jpg
2025-10-03 14:56:34,no_helmet,0.56,snapshots\20251003_145634_no_helmet.jpg
2025-10-03 14:56:34,no_helmet,0.54,snapshots\20251003_145634_no_helmet.jpg
2025-10-03 14:56:35,no_helmet,0.59,snapshots\20251003_145635_no_helmet.jpg
2025-10-03 14:56:35,no_helmet,0.55,snapshots\20251003_145635_no_helmet.jpg
2025-10-03 14:56:35,no_vest,0.53,snapshots\20251003_145635_no_vest.jpg
2025-10-03 14:56:36,no_helmet,0.55,snapshots\20251003_145636_no_helmet.jpg
2025-10-03 14:56:37,no_helmet,0.74,snapshots\20251003_145637_no_helmet.jpg
2025-10-03 14:56:37,no_helmet,0.60,snapshots\20251003_145637_no_helmet.jpg
2025-10-03 14:56:37,no_vest,0.51,snapshots\20251003_145637_no_vest.jpg
2025-10-03 14:56:38,no_helmet,0.79,snapshots\20251003_145638_no_helmet.jpg
2025-10-03 14:56:38,no_helmet,0.59,snapshots\20251003_145638_no_helmet.jpg
2025-10-03 14:56:39,no_helmet,0.61,snapshots\20251003_145639_no_helmet.jpg
2025-10-03 14:56:39,no_helmet,0.56,snapshots\20251003_145639_no_helmet.jpg
2025-10-03 14:56:39,no_helmet,0.54,snapshots\20251003_145639_no_helmet.jpg
2025-10-03 14:56:39,no_vest,0.52,snapshots\20251003_145639_no_vest.jpg
2025-10-03 14:56:39,no_vest,0.52,snapshots\20251003_145639_no_vest.jpg
2025-10-03 14:56:40,no_helmet,0.73,snapshots\20251003_145640_no_helmet.jpg
2025-10-03 14:56:40,no_helmet,0.57,snapshots\20251003_145640_no_helmet.jpg
2025-10-03 14:56:41,no_helmet,0.73,snapshots\20251003_145641_no_helmet.jpg
2025-10-03 14:56:41,no_helmet,0.54,snapshots\20251003_145641_no_helmet.jpg
2025-10-03 14:56:41,no_vest,0.50,snapshots\20251003_145641_no_vest.jpg
2025-10-03 14:56:42,no_helmet,0.71,snapshots\20251003_145642_no_helmet.jpg
2025-10-03 14:56:42,no_helmet,0.52,snapshots\20251003_145642_no_helmet.jpg
2025-10-03 14:56:43,no_helmet,0.72,snapshots\20251003_145643_no_helmet.jpg
2025-10-03 14:56:44,no_helmet,0.73,snapshots\20251003_145644_no_helmet.jpg
2025-10-03 14:56:44,no_vest,0.54,snapshots\20251003_145644_no_vest.jpg
2025-10-03 14:56:44,no_helmet,0.51,snapshots\20251003_145644_no_helmet.jpg
2025-10-03 14:56:45,no_helmet,0.71,snapshots\20251003_145645_no_helmet.jpg
2025-10-03 14:56:45,no_vest,0.52,snapshots\20251003_145645_no_vest.jpg
2025-10-03 14:56:45,no_helmet,0.50,snapshots\20251003_145645_no_helmet.jpg
2025-10-03 14:56:46,no_helmet,0.62,snapshots\20251003_145646_no_helmet.jpg
2025-10-03 14:56:46,no_helmet,0.50,snapshots\20251003_145646_no_helmet.jpg
2025-10-03 14:56:47,no_helmet,0.74,snapshots\20251003_145647_no_helmet.jpg
2025-10-03 14:56:47,no_helmet,0.74,snapshots\20251003_145647_no_helmet.jpg
2025-10-03 14:56:48,no_vest,0.56,snapshots\20251003_145648_no_vest.jpg
2025-10-03 14:56:48,no_helmet,0.50,snapshots\20251003_145648_no_helmet.jpg
2025-10-03 14:56:49,no_helmet,0.65,snapshots\20251003_145649_no_helmet.jpg
2025-10-03 14:56:49,no_helmet,0.53,snapshots\20251003_145649_no_helmet.jpg
2025-10-03 14:56:51,no_vest,0.54,snapshots\20251003_145651_no_vest.jpg
2025-10-03 14:56:52,no_vest,0.58,snapshots\20251003_145652_no_vest.jpg
2025-10-03 14:56:52,no_helmet,0.54,snapshots\20251003_145652_no_helmet.jpg
2025-10-03 14:56:53,no_vest,0.52,snapshots\20251003_145653_no_vest.jpg
2025-10-03 14:56:53,no_helmet,0.50,snapshots\20251003_145653_no_helmet.jpg
2025-10-03 14:56:54,no_vest,0.50,snapshots\20251003_145654_no_vest.jpg
2025-10-03 14:56:55,no_vest,0.52,snapshots\20251003_145655_no_vest.jpg
2025-10-03 17:48:25,no_helmet,0.56,snapshots\20251003_174825_no_helmet.jpg
2025-10-03 17:48:25,no_helmet,0.54,snapshots\20251003_174825_no_helmet.jpg
2025-10-03 17:48:25,no_helmet,0.59,snapshots\20251003_174825_no_helmet.jpg
2025-10-03 17:48:25,no_helmet,0.55,snapshots\20251003_174825_no_helmet.jpg
2025-10-03 17:48:25,no_vest,0.53,snapshots\20251003_174825_no_vest.jpg
2025-10-03 17:48:26,no_helmet,0.55,snapshots\20251003_174826_no_helmet.jpg
2025-10-03 17:48:26,no_helmet,0.74,snapshots\20251003_174826_no_helmet.jpg
2025-10-03 17:48:26,no_helmet,0.60,snapshots\20251003_174826_no_helmet.jpg
2025-10-03 17:48:26,no_vest,0.51,snapshots\20251003_174826_no_vest.jpg
2025-10-03 17:48:27,no_helmet,0.79,snapshots\20251003_174827_no_helmet.jpg
2025-10-03 17:48:27,no_helmet,0.59,snapshots\20251003_174827_no_helmet.jpg
2025-10-03 17:48:28,no_helmet,0.61,snapshots\20251003_174828_no_helmet.jpg
2025-10-03 17:48:28,no_helmet,0.56,snapshots\20251003_174828_no_helmet.jpg
2025-10-03 17:48:28,no_helmet,0.54,snapshots\20251003_174828_no_helmet.jpg
2025-10-03 17:48:28,no_vest,0.52,snapshots\20251003_174828_no_vest.jpg
2025-10-03 17:48:28,no_vest,0.52,snapshots\20251003_174828_no_vest.jpg
2025-10-03 17:48:28,no_helmet,0.73,snapshots\20251003_174828_no_helmet.jpg
2025-10-03 17:48:28,no_helmet,0.57,snapshots\20251003_174828_no_helmet.jpg
2025-10-03 17:48:29,no_helmet,0.73,snapshots\20251003_174829_no_helmet.jpg
2025-10-03 17:48:29,no_helmet,0.54,snapshots\20251003_174829_no_helmet.jpg
2025-10-03 17:48:29,no_vest,0.50,snapshots\20251003_174829_no_vest.jpg
2025-10-03 17:48:30,no_helmet,0.71,snapshots\20251003_174830_no_helmet.jpg
2025-10-03 17:48:30,no_helmet,0.52,snapshots\20251003_174830_no_helmet.jpg
2025-10-03 17:48:30,no_helmet,0.72,snapshots\20251003_174830_no_helmet.jpg
2025-10-03 17:48:31,no_helmet,0.73,snapshots\20251003_174831_no_helmet.jpg
2025-10-03 17:48:31,no_vest,0.54,snapshots\20251003_174831_no_vest.jpg
2025-10-03 17:48:31,no_helmet,0.51,snapshots\20251003_174831_no_helmet.jpg
2025-10-03 17:48:31,no_helmet,0.71,snapshots\20251003_174831_no_helmet.jpg
2025-10-03 17:48:31,no_vest,0.52,snapshots\20251003_174831_no_vest.jpg
2025-10-03 17:48:31,no_helmet,0.50,snapshots\20251003_174831_no_helmet.jpg
2025-10-03 17:48:32,no_helmet,0.62,snapshots\20251003_174832_no_helmet.jpg
2025-10-03 17:48:32,no_helmet,0.50,snapshots\20251003_174832_no_helmet.jpg
2025-10-03 17:48:32,no_helmet,0.74,snapshots\20251003_174832_no_helmet.jpg
2025-10-03 17:48:33,no_helmet,0.74,snapshots\20251003_174833_no_helmet.jpg
2025-10-03 17:48:33,no_vest,0.56,snapshots\20251003_174833_no_vest.jpg
2025-10-03 17:48:33,no_helmet,0.50,snapshots\20251003_174833_no_helmet.jpg
2025-10-03 17:48:33,no_helmet,0.65,snapshots\20251003_174833_no_helmet.jpg
2025-10-03 17:48:34,no_helmet,0.53,snapshots\20251003_174834_no_helmet.jpg
2025-10-03 17:48:35,no_vest,0.54,snapshots\20251003_174835_no_vest.jpg
2025-10-03 17:48:36,no_vest,0.58,snapshots\20251003_174836_no_vest.jpg
2025-10-03 17:48:36,no_helmet,0.54,snapshots\20251003_174836_no_helmet.jpg
2025-10-03 17:48:37,no_vest,0.52,snapshots\20251003_174837_no_vest.jpg
2025-10-03 17:48:37,no_helmet,0.50,snapshots\20251003_174837_no_helmet.jpg
2025-10-03 17:48:37,no_vest,0.50,snapshots\20251003_174837_no_vest.jpg
2025-10-03 17:48:38,no_vest,0.52,snapshots\20251003_174838_no_vest.jpg
2025-10-03 17:48:39,no_vest,0.56,snapshots\20251003_174839_no_vest.jpg
2025-10-03 17:48:39,no_vest,0.55,snapshots\20251003_174839_no_vest.jpg
2025-10-03 17:48:39,no_vest,0.54,snapshots\20251003_174839_no_vest.jpg
2025-10-03 17:48:41,no_vest,0.57,snapshots\20251003_174841_no_vest.jpg
2025-10-03 17:48:41,no_vest,0.54,snapshots\20251003_174841_no_vest.jpg
2025-10-03 17:48:42,no_vest,0.60,snapshots\20251003_174842_no_vest.jpg
2025-10-03 17:48:42,no_vest,0.53,snapshots\20251003_174842_no_vest.jpg
2025-10-03 17:48:43,no_vest,0.55,snapshots\20251003_174843_no_vest.jpg
2025-10-03 17:48:44,no_helmet,0.53,snapshots\20251003_174844_no_helmet.jpg
2025-10-03 17:48:44,no_helmet,0.52,snapshots\20251003_174844_no_helmet.jpg
2025-10-03 17:48:45,no_helmet,0.67,snapshots\20251003_174845_no_helmet.jpg
2025-10-03 17:48:45,no_helmet,0.82,snapshots\20251003_174845_no_helmet.jpg
2025-10-03 17:48:45,no_vest,0.56,snapshots\20251003_174845_no_vest.jpg
2025-10-03 17:48:46,no_helmet,0.61,snapshots\20251003_174846_no_helmet.jpg
2025-10-03 17:48:46,no_vest,0.57,snapshots\20251003_174846_no_vest.jpg
2025-10-03 17:48:46,no_vest,0.54,snapshots\20251003_174846_no_vest.jpg
2025-10-03 17:48:46,no_helmet,0.84,snapshots\20251003_174846_no_helmet.jpg
2025-10-03 17:48:46,no_vest,0.59,snapshots\20251003_174846_no_vest.jpg
2025-10-03 17:48:46,no_helmet,0.56,snapshots\20251003_174846_no_helmet.jpg
2025-10-03 17:48:46,no_vest,0.52,snapshots\20251003_174846_no_vest.jpg
2025-10-03 17:48:47,no_helmet,0.72,snapshots\20251003_174847_no_helmet.jpg
