epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4695.27,1.1773,1.75631,1.53662,0.62375,0.39889,0.39968,0.24925,1.45078,1.83974,1.73414,0.000525623,0.000525623,0.000525623
43,4805.92,1.15502,1.7109,1.52138,0.63666,0.40138,0.40097,0.24599,1.46194,1.83642,1.72816,0.000518126,0.000518126,0.000518126
44,4916.43,1.15633,1.69646,1.51985,0.64322,0.39827,0.40187,0.24839,1.46084,1.82164,1.72977,0.000510629,0.000510629,0.000510629
45,5026.89,1.14054,1.71191,1.5154,0.63776,0.40067,0.40027,0.24642,1.48002,1.8411,1.74287,0.000503132,0.000503132,0.000503132
46,5137.93,1.14389,1.69647,1.51202,0.64329,0.40292,0.40836,0.25336,1.46357,1.80481,1.73341,0.000495635,0.000495635,0.000495635
47,5248.6,1.13737,1.70094,1.50405,0.64579,0.40857,0.41032,0.25615,1.44366,1.80675,1.70373,0.000488138,0.000488138,0.000488138
48,5358.92,1.14063,1.68457,1.4985,0.65252,0.40003,0.40391,0.25408,1.45206,1.79622,1.71325,0.000480641,0.000480641,0.000480641
49,5469.81,1.11416,1.62755,1.48858,0.64334,0.40397,0.4091,0.25819,1.44114,1.79372,1.71404,0.000473144,0.000473144,0.000473144
50,5580.88,1.09204,1.62604,1.47678,0.64187,0.40439,0.40786,0.25845,1.45077,1.79941,1.71614,0.000465647,0.000465647,0.000465647
51,5692.04,1.08964,1.59162,1.47271,0.64949,0.40929,0.41153,0.25983,1.44399,1.78553,1.7265,0.00045815,0.00045815,0.00045815
52,5804.33,1.1017,1.60034,1.47654,0.63625,0.41501,0.41034,0.25743,1.45894,1.79894,1.73209,0.000450653,0.000450653,0.000450653
53,5916,1.09564,1.61527,1.474,0.63989,0.40126,0.40834,0.25667,1.46378,1.81614,1.71346,0.000443156,0.000443156,0.000443156
54,6026.81,1.07161,1.54696,1.4506,0.64627,0.41603,0.41413,0.26162,1.43736,1.77164,1.7098,0.000435659,0.000435659,0.000435659
55,6137.7,1.07577,1.5758,1.46089,0.65049,0.41976,0.4181,0.26514,1.44232,1.77576,1.72783,0.000428162,0.000428162,0.000428162
