Timestamp,ViolationType,PersonID,ScreenshotPath
2025-10-07 19:57:48,NO-Mask,1,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:48,NO-Mask,2,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:48,NO-Mask,3,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:48,NO-Mask,4,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:48,NO-Mask,5,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:48,NO-Mask,6,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:48,NO-Mask,7,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:48,NO-Mask,8,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:48,NO-Mask,9,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:48,NO-Mask,10,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:48,NO-Mask,11,outputs\violation_screenshots\violation_2025-10-07_19-57-48.jpg
2025-10-07 19:57:49,NO-Mask,12,outputs\violation_screenshots\violation_2025-10-07_19-57-49.jpg
2025-10-07 19:57:49,NO-Mask,13,outputs\violation_screenshots\violation_2025-10-07_19-57-49.jpg
2025-10-07 19:58:07,"NO-Mask, NO-Hardhat",19,outputs\violation_screenshots\violation_2025-10-07_19-58-07.jpg
2025-10-07 19:58:21,NO-Mask,21,outputs\violation_screenshots\violation_2025-10-07_19-58-21.jpg
2025-10-07 19:58:23,NO-Mask,22,outputs\violation_screenshots\violation_2025-10-07_19-58-23.jpg
2025-10-07 19:58:29,NO-Mask,1,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,2,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,3,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,4,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,5,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,6,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,7,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,8,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,9,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,10,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,11,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:29,NO-Mask,13,outputs\violation_screenshots\violation_2025-10-07_19-58-29.jpg
2025-10-07 19:58:46,NO-Mask,24,outputs\violation_screenshots\violation_2025-10-07_19-58-46.jpg
2025-10-07 19:58:47,NO-Mask,19,outputs\violation_screenshots\violation_2025-10-07_19-58-47.jpg
