ID,Timestamp,Violation Type,Person ID,Frame,Helmet Conf,Vest Conf,Image Path
1,2025-10-08 19:53:33,no_vest,45,89,0.66,0.0,/violations/violation_20251008_195333_525091.jpg
2,2025-10-08 19:53:31,no_vest,43,60,0.76,0.0,/violations/violation_20251008_195331_423593.jpg
3,2025-10-08 19:53:29,no_helmet,36,37,0.0,0.43,/violations/violation_20251008_195329_793611.jpg
4,2025-10-08 19:53:28,no_helmet,27,20,0.0,0.32,/violations/violation_20251008_195328_628497.jpg
5,2025-10-08 19:53:27,no_vest,26,5,0.45,0.0,/violations/violation_20251008_195327_635006.jpg
6,2025-10-08 19:18:41,no_vest,23,89,0.66,0.0,/violations/violation_20251008_191841_761456.jpg
7,2025-10-08 19:18:39,no_vest,21,60,0.76,0.0,/violations/violation_20251008_191839_915108.jpg
8,2025-10-08 19:18:38,no_helmet,14,37,0.0,0.43,/violations/violation_20251008_191838_452626.jpg
9,2025-10-08 19:18:37,no_helmet,5,20,0.0,0.32,/violations/violation_20251008_191837_393990.jpg
10,2025-10-08 19:18:36,no_vest,4,5,0.45,0.0,/violations/violation_20251008_191836_466821.jpg
11,2025-10-08 18:55:30,"no_helmet, no_vest",1,5,0.0,0.0,/violations/violation_20251008_185530_229712.jpg
12,2025-10-08 18:50:59,no_vest,21,89,0.66,0.0,/violations/violation_20251008_185059_943812.jpg
13,2025-10-08 18:50:58,no_vest,19,61,0.76,0.0,/violations/violation_20251008_185057_997044.jpg
14,2025-10-08 18:50:56,no_helmet,12,38,0.0,0.43,/violations/violation_20251008_185056_366943.jpg
15,2025-10-08 18:50:55,no_helmet,3,21,0.0,0.32,/violations/violation_20251008_185055_152091.jpg
16,2025-10-08 18:50:54,"no_helmet, no_vest",2,5,0.31,0.0,/violations/violation_20251008_185054_068484.jpg
