Timestamp,Violation Type,Person ID,Frame,Helmet Conf,Vest Conf
2025-10-06 11:35:28,no_helmet,0,0,0.0,0.0
2025-10-06 11:35:27,no_vest,0,0,0.0,0.0
2025-10-06 11:35:27,no_helmet,0,0,0.0,0.0
2025-10-06 11:35:27,no_vest,0,0,0.0,0.0
2025-10-06 11:35:27,no_helmet,0,0,0.0,0.0
2025-10-06 11:35:22,no_vest,0,0,0.0,0.0
2025-10-06 11:35:22,no_helmet,0,0,0.0,0.0
2025-10-06 11:35:20,no_vest,0,0,0.0,0.0
2025-10-06 11:35:20,no_helmet,0,0,0.0,0.0
2025-10-06 11:35:18,no_vest,0,0,0.0,0.0
2025-10-06 11:35:18,no_helmet,0,0,0.0,0.0
2025-10-06 11:35:16,no_vest,0,0,0.0,0.0
2025-10-06 11:35:16,no_helmet,0,0,0.0,0.0
2025-10-06 11:35:13,no_vest,0,0,0.0,0.0
2025-10-06 11:35:12,no_vest,0,0,0.0,0.0
2025-10-06 11:35:12,no_helmet,0,0,0.0,0.0
2025-10-06 11:35:10,no_vest,0,0,0.0,0.0
2025-10-06 11:35:10,no_helmet,0,0,0.0,0.0
2025-10-06 11:35:04,no_vest,0,0,0.0,0.0
2025-10-06 11:35:04,no_helmet,0,0,0.0,0.0
2025-10-06 11:35:02,no_vest,0,0,0.0,0.0
2025-10-06 11:34:55,no_vest,0,0,0.0,0.0
2025-10-06 11:34:55,no_helmet,0,0,0.0,0.0
2025-10-06 11:34:54,no_vest,0,0,0.0,0.0
2025-10-06 11:34:54,no_helmet,0,0,0.0,0.0
2025-10-06 11:34:46,no_vest,0,0,0.0,0.0
2025-10-06 11:34:46,no_helmet,0,0,0.0,0.0
2025-10-06 11:34:40,no_vest,0,0,0.0,0.0
2025-10-06 11:34:40,no_helmet,0,0,0.0,0.0
2025-10-06 11:34:38,no_vest,0,0,0.0,0.0
2025-10-06 11:34:38,no_helmet,0,0,0.0,0.0
2025-10-06 11:34:30,no_vest,0,0,0.0,0.0
2025-10-06 11:34:30,no_helmet,0,0,0.0,0.0
2025-10-06 11:34:22,no_vest,0,0,0.0,0.0
2025-10-06 11:34:22,no_helmet,0,0,0.0,0.0
2025-10-06 11:34:14,no_vest,0,0,0.0,0.0
2025-10-06 11:34:14,no_helmet,0,0,0.0,0.0
2025-10-06 11:34:06,no_vest,0,0,0.0,0.0
2025-10-06 11:34:06,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:57,no_vest,0,0,0.0,0.0
2025-10-06 11:33:57,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:50,no_vest,0,0,0.0,0.0
2025-10-06 11:33:50,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:49,no_vest,0,0,0.0,0.0
2025-10-06 11:33:49,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:42,no_vest,0,0,0.0,0.0
2025-10-06 11:33:42,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:41,no_vest,0,0,0.0,0.0
2025-10-06 11:33:41,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:34,no_vest,0,0,0.0,0.0
2025-10-06 11:33:34,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:33,no_vest,0,0,0.0,0.0
2025-10-06 11:33:33,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:26,no_vest,0,0,0.0,0.0
2025-10-06 11:33:26,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:25,no_vest,0,0,0.0,0.0
2025-10-06 11:33:25,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:17,no_vest,0,0,0.0,0.0
2025-10-06 11:33:17,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:09,no_vest,0,0,0.0,0.0
2025-10-06 11:33:09,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:07,no_vest,0,0,0.0,0.0
2025-10-06 11:33:07,no_helmet,0,0,0.0,0.0
2025-10-06 11:33:00,no_vest,0,0,0.0,0.0
2025-10-06 11:33:00,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:52,no_vest,0,0,0.0,0.0
2025-10-06 11:32:52,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:44,no_vest,0,0,0.0,0.0
2025-10-06 11:32:44,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:43,no_vest,0,0,0.0,0.0
2025-10-06 11:32:43,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:36,no_vest,0,0,0.0,0.0
2025-10-06 11:32:36,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:28,no_vest,0,0,0.0,0.0
2025-10-06 11:32:25,no_vest,0,0,0.0,0.0
2025-10-06 11:32:25,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:20,no_vest,0,0,0.0,0.0
2025-10-06 11:32:20,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:18,no_vest,0,0,0.0,0.0
2025-10-06 11:32:18,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:12,no_vest,0,0,0.0,0.0
2025-10-06 11:32:12,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:10,no_vest,0,0,0.0,0.0
2025-10-06 11:32:10,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:04,no_vest,0,0,0.0,0.0
2025-10-06 11:32:04,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:04,no_vest,0,0,0.0,0.0
2025-10-06 11:32:04,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:04,no_vest,0,0,0.0,0.0
2025-10-06 11:32:04,no_helmet,0,0,0.0,0.0
2025-10-06 11:32:00,no_vest,0,0,0.0,0.0
2025-10-06 11:32:00,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:59,no_vest,0,0,0.0,0.0
2025-10-06 11:31:59,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:53,no_vest,0,0,0.0,0.0
2025-10-06 11:31:53,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:51,no_vest,0,0,0.0,0.0
2025-10-06 11:31:51,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:42,no_vest,0,0,0.0,0.0
2025-10-06 11:31:42,no_vest,0,0,0.0,0.0
2025-10-06 11:31:42,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:34,no_vest,0,0,0.0,0.0
2025-10-06 11:31:34,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:33,no_vest,0,0,0.0,0.0
2025-10-06 11:31:33,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:28,no_vest,0,0,0.0,0.0
2025-10-06 11:31:28,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:26,no_vest,0,0,0.0,0.0
2025-10-06 11:31:26,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:22,no_vest,0,0,0.0,0.0
2025-10-06 11:31:22,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:18,no_vest,0,0,0.0,0.0
2025-10-06 11:31:18,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:13,no_vest,0,0,0.0,0.0
2025-10-06 11:31:13,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:10,no_vest,0,0,0.0,0.0
2025-10-06 11:31:10,no_helmet,0,0,0.0,0.0
2025-10-06 11:31:02,no_vest,0,0,0.0,0.0
2025-10-06 11:31:02,no_helmet,0,0,0.0,0.0
2025-10-06 11:30:54,no_vest,0,0,0.0,0.0
