epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.8859,1.31761,1.92152,1.363,0.71918,0.67914,0.74706,0.47769,1.25855,1.64724,1.36292,0.000474253,0.000474253,0.000474253
2,156.015,1.27002,1.38518,1.3174,0.75856,0.65314,0.73531,0.44458,1.31483,1.37586,1.40225,0.000931765,0.000931765,0.000931765
3,217.243,1.25213,1.27233,1.31793,0.78917,0.60881,0.70876,0.44366,1.35679,1.29934,1.43712,0.00137041,0.00137041,0.00137041
4,280.237,1.23133,1.18152,1.29516,0.84595,0.72589,0.82543,0.56703,1.13911,0.98621,1.25552,0.00134412,0.00134412,0.00134412
5,347.015,1.19226,1.07149,1.26775,0.87029,0.77823,0.8709,0.60445,1.08805,0.91462,1.23817,0.00131582,0.00131582,0.00131582
6,413.251,1.15926,1.02984,1.25659,0.87135,0.78435,0.87262,0.61064,1.08517,0.85075,1.22475,0.00128753,0.00128753,0.00128753
7,480.427,1.13406,0.97384,1.23996,0.85628,0.8018,0.87202,0.62362,1.06824,0.82546,1.20821,0.00125923,0.00125923,0.00125923
8,547.288,1.09177,0.93883,1.22182,0.86989,0.81933,0.88713,0.64056,1.05395,0.78256,1.2011,0.00123094,0.00123094,0.00123094
9,615.646,1.06933,0.89832,1.20249,0.88073,0.81653,0.89669,0.65028,1.03798,0.76281,1.17989,0.00120265,0.00120265,0.00120265
