timestamp,frame,person_id,violation_type,image_path,helmet_conf,vest_conf
2025-10-06 23:38:34,0,0,unknown,,0.00,0.00
2025-10-06 23:38:35,0,0,unknown,,0.00,0.00
2025-10-06 23:38:36,0,0,unknown,,0.00,0.00
2025-10-06 23:38:38,0,0,unknown,,0.00,0.00
2025-10-06 23:38:40,0,0,unknown,,0.00,0.00
2025-10-06 23:41:39,5,2,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_234139_933617.jpg,0.45,0.00
2025-10-06 23:41:40,20,3,no_helmet,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_234140_924917.jpg,0.00,0.32
2025-10-06 23:41:42,37,12,no_helmet,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_234142_072378.jpg,0.00,0.43
2025-10-06 23:41:43,60,19,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_234143_661311.jpg,0.76,0.00
2025-10-06 23:41:45,89,21,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_234145_599329.jpg,0.66,0.00
2025-10-06 23:42:50,5,24,"no_helmet, no_vest",D:\VSCode\SafetyAI_clean1\violations\violation_20251006_234250_982181.jpg,0.31,0.00
2025-10-06 23:42:52,21,25,no_helmet,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_234252_062068.jpg,0.00,0.32
2025-10-06 23:42:53,38,34,no_helmet,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_234253_241027.jpg,0.00,0.43
2025-10-06 23:42:54,61,41,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_234254_965654.jpg,0.76,0.00
2025-10-06 23:42:57,89,43,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_234257_056954.jpg,0.66,0.00
2025-10-06 23:51:43,5,2,"no_helmet, no_vest",D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235143_364666.jpg,0.31,0.00
2025-10-06 23:51:44,21,3,no_helmet,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235144_370388.jpg,0.00,0.32
2025-10-06 23:51:45,38,12,no_helmet,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235145_484966.jpg,0.00,0.43
2025-10-06 23:51:47,61,19,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235147_011922.jpg,0.76,0.00
2025-10-06 23:51:48,89,21,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235148_937955.jpg,0.66,0.00
2025-10-06 23:52:11,5,24,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235211_324253.jpg,0.45,0.00
2025-10-06 23:52:12,20,25,no_helmet,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235212_313149.jpg,0.00,0.32
2025-10-06 23:52:13,37,34,no_helmet,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235213_436911.jpg,0.00,0.43
2025-10-06 23:52:14,60,41,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235214_949635.jpg,0.76,0.00
2025-10-06 23:52:16,89,43,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235216_960847.jpg,0.66,0.00
2025-10-06 23:54:55,5,2,"no_helmet, no_vest",D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235455_517188.jpg,0.31,0.00
2025-10-06 23:54:56,21,3,no_helmet,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235456_511553.jpg,0.00,0.32
2025-10-06 23:54:57,38,12,no_helmet,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235457_638337.jpg,0.00,0.43
2025-10-06 23:54:59,61,19,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235459_249872.jpg,0.76,0.00
2025-10-06 23:55:01,89,21,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235501_352443.jpg,0.66,0.00
2025-10-06 23:58:07,5,2,no_vest,D:\VSCode\SafetyAI_clean1\violations\violation_20251006_235807_864219.jpg,0.45,0.00
