timestamp,frame,person_id,reason,image_path,helmet_conf,vest_conf
2025-09-24 21:47:52,48,3,low_conf_ppe,review\review_20250924_214752_f48_id3.jpg,0.492,0.003
2025-09-24 21:47:52,48,1,low_conf_ppe,review\review_20250924_214752_f48_id1.jpg,0.763,0.0
2025-09-24 21:47:52,49,3,low_conf_ppe,review\review_20250924_214752_f49_id3.jpg,0.499,0.002
2025-09-24 21:47:52,49,1,low_conf_ppe,review\review_20250924_214752_f49_id1.jpg,0.759,0.0
2025-09-24 21:47:52,50,3,low_conf_ppe,review\review_20250924_214752_f50_id3.jpg,0.5,0.001
2025-09-24 21:47:52,50,1,low_conf_ppe,review\review_20250924_214752_f50_id1.jpg,0.758,0.0
2025-09-24 21:47:53,51,1,low_conf_ppe,review\review_20250924_214753_f51_id1.jpg,0.754,0.095
2025-09-24 21:47:53,51,3,low_conf_ppe,review\review_20250924_214753_f51_id3.jpg,0.498,0.001
2025-09-24 21:47:53,52,1,low_conf_ppe,review\review_20250924_214753_f52_id1.jpg,0.754,0.159
2025-09-24 21:47:53,52,3,low_conf_ppe,review\review_20250924_214753_f52_id3.jpg,0.503,0.0
2025-09-24 21:47:53,53,3,low_conf_ppe,review\review_20250924_214753_f53_id3.jpg,0.512,0.0
2025-09-24 21:47:53,53,1,low_conf_ppe,review\review_20250924_214753_f53_id1.jpg,0.757,0.103
2025-09-24 21:47:53,54,3,low_conf_ppe,review\review_20250924_214753_f54_id3.jpg,0.515,0.0
2025-09-24 21:47:53,54,1,low_conf_ppe,review\review_20250924_214753_f54_id1.jpg,0.758,0.16
2025-09-24 21:47:53,55,3,low_conf_ppe,review\review_20250924_214753_f55_id3.jpg,0.527,0.0
2025-09-24 21:47:53,56,3,low_conf_ppe,review\review_20250924_214753_f56_id3.jpg,0.544,0.0
2025-09-24 21:47:53,57,3,low_conf_ppe,review\review_20250924_214753_f57_id3.jpg,0.552,0.0
2025-09-24 21:47:53,58,3,low_conf_ppe,review\review_20250924_214753_f58_id3.jpg,0.569,0.0
2025-09-24 21:47:53,59,3,low_conf_ppe,review\review_20250924_214753_f59_id3.jpg,0.58,0.0
2025-09-24 21:47:53,60,3,low_conf_ppe,review\review_20250924_214753_f60_id3.jpg,0.601,0.095
2025-09-24 21:47:54,61,3,low_conf_ppe,review\review_20250924_214754_f61_id3.jpg,0.62,0.172
2025-09-24 21:47:54,62,4,low_conf_ppe,review\review_20250924_214754_f62_id4.jpg,0.0,0.17
2025-09-24 21:47:54,62,1,low_conf_ppe,review\review_20250924_214754_f62_id1.jpg,0.789,0.134
2025-09-24 21:47:54,63,1,low_conf_ppe,review\review_20250924_214754_f63_id1.jpg,0.791,0.087
2025-09-24 21:47:54,64,1,low_conf_ppe,review\review_20250924_214754_f64_id1.jpg,0.791,0.057
2025-09-24 21:47:54,65,1,low_conf_ppe,review\review_20250924_214754_f65_id1.jpg,0.791,0.037
2025-09-24 21:47:54,66,1,low_conf_ppe,review\review_20250924_214754_f66_id1.jpg,0.795,0.024
2025-09-24 21:47:54,67,1,low_conf_ppe,review\review_20250924_214754_f67_id1.jpg,0.802,0.016
2025-09-24 21:47:54,68,1,low_conf_ppe,review\review_20250924_214754_f68_id1.jpg,0.805,0.01
2025-09-24 21:47:54,69,1,low_conf_ppe,review\review_20250924_214754_f69_id1.jpg,0.799,0.007
2025-09-24 21:47:54,70,1,low_conf_ppe,review\review_20250924_214754_f70_id1.jpg,0.801,0.004
2025-09-24 21:47:55,71,1,low_conf_ppe,review\review_20250924_214755_f71_id1.jpg,0.786,0.13
2025-09-24 21:47:55,73,1,low_conf_ppe,review\review_20250924_214755_f73_id1.jpg,0.783,0.136
2025-09-24 21:47:55,74,1,low_conf_ppe,review\review_20250924_214755_f74_id1.jpg,0.784,0.088
2025-09-24 21:47:55,75,1,low_conf_ppe,review\review_20250924_214755_f75_id1.jpg,0.797,0.057
2025-09-24 21:47:55,76,1,low_conf_ppe,review\review_20250924_214755_f76_id1.jpg,0.789,0.037
2025-09-24 21:47:55,77,1,low_conf_ppe,review\review_20250924_214755_f77_id1.jpg,0.773,0.024
2025-09-24 21:47:55,78,1,low_conf_ppe,review\review_20250924_214755_f78_id1.jpg,0.764,0.016
2025-09-24 21:47:55,79,1,low_conf_ppe,review\review_20250924_214755_f79_id1.jpg,0.78,0.01
2025-09-24 21:47:55,80,1,low_conf_ppe,review\review_20250924_214755_f80_id1.jpg,0.777,0.007
2025-09-24 21:47:56,81,1,low_conf_ppe,review\review_20250924_214756_f81_id1.jpg,0.779,0.004
2025-09-24 21:47:56,82,1,low_conf_ppe,review\review_20250924_214756_f82_id1.jpg,0.785,0.003
2025-09-24 21:47:56,83,1,low_conf_ppe,review\review_20250924_214756_f83_id1.jpg,0.784,0.002
2025-09-24 21:47:56,84,1,low_conf_ppe,review\review_20250924_214756_f84_id1.jpg,0.78,0.001
2025-09-24 21:47:56,85,1,low_conf_ppe,review\review_20250924_214756_f85_id1.jpg,0.775,0.001
2025-09-24 21:47:56,86,1,low_conf_ppe,review\review_20250924_214756_f86_id1.jpg,0.776,0.001
2025-09-24 21:47:56,87,1,low_conf_ppe,review\review_20250924_214756_f87_id1.jpg,0.783,0.0
2025-09-24 21:47:56,88,1,low_conf_ppe,review\review_20250924_214756_f88_id1.jpg,0.785,0.0
2025-09-24 21:47:56,89,1,low_conf_ppe,review\review_20250924_214756_f89_id1.jpg,0.788,0.0
2025-09-24 21:47:56,90,1,low_conf_ppe,review\review_20250924_214756_f90_id1.jpg,0.796,0.0
2025-09-24 21:47:57,91,1,low_conf_ppe,review\review_20250924_214756_f91_id1.jpg,0.796,0.0
2025-09-24 21:47:57,92,1,low_conf_ppe,review\review_20250924_214757_f92_id1.jpg,0.793,0.0
2025-09-24 21:47:57,93,1,low_conf_ppe,review\review_20250924_214757_f93_id1.jpg,0.788,0.0
2025-09-24 21:47:57,94,1,low_conf_ppe,review\review_20250924_214757_f94_id1.jpg,0.796,0.0
2025-09-24 21:47:57,95,1,low_conf_ppe,review\review_20250924_214757_f95_id1.jpg,0.801,0.0
2025-09-24 21:47:57,96,1,low_conf_ppe,review\review_20250924_214757_f96_id1.jpg,0.794,0.0
2025-09-24 21:47:57,97,4,low_conf_ppe,review\review_20250924_214757_f97_id4.jpg,0.0,0.088
2025-09-24 21:47:57,97,1,low_conf_ppe,review\review_20250924_214757_f97_id1.jpg,0.787,0.0
2025-09-24 21:47:57,98,4,low_conf_ppe,review\review_20250924_214757_f98_id4.jpg,0.0,0.057
