epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5673.91,0.71816,0.5558,1.07421,0.87679,0.79422,0.83932,0.54746,1.2084,0.63493,1.39123,0.000424187,0.000424187,0.000424187
43,5807.09,0.71157,0.55014,1.06651,0.91684,0.76052,0.84124,0.58126,1.09814,0.62523,1.29846,0.000417119,0.000417119,0.000417119
44,5943.08,0.71131,0.55094,1.06837,0.90337,0.75908,0.83684,0.55735,1.18873,0.61434,1.36458,0.00041005,0.00041005,0.00041005
45,6076.76,0.70246,0.54051,1.06195,0.89895,0.78329,0.84616,0.57109,1.13968,0.60639,1.32046,0.000402982,0.000402982,0.000402982
46,6210.62,0.70375,0.5354,1.059,0.89159,0.80096,0.85607,0.55513,1.20886,0.60172,1.37803,0.000395913,0.000395913,0.000395913
47,6344.08,0.67853,0.51242,1.0428,0.92252,0.78414,0.85061,0.56815,1.14755,0.59103,1.33581,0.000388844,0.000388844,0.000388844
48,6477.67,0.67947,0.51227,1.0476,0.9012,0.78166,0.84622,0.57181,1.14316,0.6258,1.33169,0.000381776,0.000381776,0.000381776
49,6611.19,0.68232,0.51318,1.05162,0.93266,0.76891,0.85396,0.58814,1.10013,0.57143,1.28982,0.000374707,0.000374707,0.000374707
50,6745.81,0.67403,0.50678,1.04271,0.93861,0.76514,0.85006,0.58354,1.11649,0.57165,1.31197,0.000367639,0.000367639,0.000367639
51,6880.8,0.66538,0.50714,1.04381,0.93035,0.78749,0.86123,0.59796,1.06938,0.55278,1.2946,0.00036057,0.00036057,0.00036057
52,7020.62,0.65596,0.4959,1.03465,0.90941,0.79167,0.85779,0.56771,1.18896,0.57712,1.38429,0.000353501,0.000353501,0.000353501
53,7154.15,0.65495,0.49252,1.03355,0.92609,0.75808,0.84406,0.58215,1.08106,0.58891,1.30007,0.000346433,0.000346433,0.000346433
54,7287.8,0.64588,0.47651,1.02359,0.94296,0.77051,0.85792,0.58334,1.10193,0.57084,1.30577,0.000339364,0.000339364,0.000339364
55,7421.13,0.63766,0.47197,1.02041,0.92216,0.79249,0.86478,0.58593,1.15348,0.58199,1.33224,0.000332296,0.000332296,0.000332296
56,7554.48,0.64264,0.47587,1.0258,0.92184,0.80191,0.87112,0.56697,1.23194,0.58887,1.41115,0.000325227,0.000325227,0.000325227
57,7692.48,0.62882,0.46755,1.01877,0.92293,0.7763,0.84943,0.59284,1.0666,0.57795,1.26438,0.000318158,0.000318158,0.000318158
58,7825.74,0.63248,0.47155,1.02299,0.91786,0.80932,0.86845,0.62226,1.00056,0.53622,1.24396,0.00031109,0.00031109,0.00031109
59,7960.32,0.62962,0.46637,1.02097,0.92311,0.79169,0.85784,0.59425,1.07343,0.54124,1.31679,0.000304021,0.000304021,0.000304021
60,8093.61,0.62258,0.46257,1.01103,0.9253,0.78862,0.86507,0.60221,1.06822,0.5611,1.27849,0.000296953,0.000296953,0.000296953
61,8227.35,0.61197,0.45135,1.00702,0.92735,0.80172,0.87097,0.6167,1.04436,0.55313,1.25249,0.000289884,0.000289884,0.000289884
62,8361.02,0.61924,0.45533,1.01119,0.94702,0.79829,0.86873,0.58997,1.0947,0.54728,1.32253,0.000282815,0.000282815,0.000282815
63,8494.36,0.59978,0.43769,1.00331,0.94845,0.79467,0.86066,0.58043,1.11781,0.57231,1.34158,0.000275747,0.000275747,0.000275747
64,8627.69,0.59692,0.43437,1.00412,0.92742,0.80095,0.86868,0.62407,0.98748,0.52757,1.21532,0.000268678,0.000268678,0.000268678
65,8762.68,0.59983,0.43686,1.0055,0.91917,0.8136,0.86532,0.59012,1.12395,0.55512,1.32908,0.00026161,0.00026161,0.00026161
66,8896.15,0.59352,0.43653,1.00432,0.92606,0.80196,0.86855,0.61708,1.03209,0.53599,1.27291,0.000254541,0.000254541,0.000254541
67,9032.8,0.58573,0.42695,0.99393,0.94289,0.79481,0.86852,0.62089,1.0141,0.52281,1.25414,0.000247472,0.000247472,0.000247472
68,9166.8,0.57723,0.41993,0.98804,0.93867,0.7951,0.86709,0.61759,1.00082,0.52302,1.24542,0.000240404,0.000240404,0.000240404
69,9300.69,0.57144,0.41499,0.99144,0.90693,0.82376,0.87681,0.60989,1.07791,0.52612,1.30185,0.000233335,0.000233335,0.000233335
70,9434.64,0.57179,0.41651,0.98899,0.93479,0.81483,0.87784,0.6373,0.97932,0.50412,1.23122,0.000226267,0.000226267,0.000226267
71,9571.51,0.56766,0.4151,0.98493,0.94057,0.80734,0.88045,0.63228,0.9847,0.4992,1.23102,0.000219198,0.000219198,0.000219198
72,9705.05,0.56731,0.40753,0.98104,0.92324,0.81769,0.87612,0.63387,0.99977,0.50673,1.2347,0.000212129,0.000212129,0.000212129
73,9838.89,0.56562,0.40758,0.98087,0.89352,0.83629,0.87747,0.61717,1.04569,0.52514,1.27637,0.000205061,0.000205061,0.000205061
74,9972.57,0.56264,0.4085,0.98271,0.94155,0.80093,0.87774,0.6248,1.01811,0.52518,1.24825,0.000197992,0.000197992,0.000197992
75,10108.1,0.54919,0.3968,0.97639,0.94154,0.78782,0.87469,0.63509,0.9721,0.5132,1.23168,0.000190924,0.000190924,0.000190924
76,10242.1,0.54777,0.39344,0.97576,0.93945,0.81874,0.8834,0.62333,1.04685,0.50563,1.28741,0.000183855,0.000183855,0.000183855
77,10376.5,0.53834,0.38954,0.96878,0.91473,0.81501,0.86941,0.62896,1.00547,0.51149,1.23707,0.000176786,0.000176786,0.000176786
78,10511.3,0.53533,0.3859,0.96667,0.92176,0.81426,0.8831,0.63303,0.99876,0.49821,1.24299,0.000169718,0.000169718,0.000169718
79,10646.2,0.52937,0.37714,0.96191,0.9396,0.80692,0.87688,0.62596,0.99678,0.51473,1.24148,0.000162649,0.000162649,0.000162649
80,10780.2,0.52607,0.37679,0.95981,0.92252,0.82094,0.87945,0.6353,0.98222,0.4931,1.244,0.000155581,0.000155581,0.000155581
81,10914.3,0.51995,0.37271,0.95698,0.91105,0.83039,0.88144,0.63358,1.0115,0.49991,1.27309,0.000148512,0.000148512,0.000148512
82,11048.3,0.51998,0.36929,0.95718,0.91,0.84054,0.88387,0.64062,0.9885,0.47751,1.2451,0.000141443,0.000141443,0.000141443
83,11184.7,0.51674,0.36853,0.95584,0.90094,0.84065,0.88277,0.63525,1.0198,0.49612,1.26023,0.000134375,0.000134375,0.000134375
84,11318.5,0.51566,0.36804,0.95425,0.93572,0.82444,0.8857,0.64982,0.95859,0.47124,1.22651,0.000127306,0.000127306,0.000127306
85,11457.8,0.50543,0.35815,0.94803,0.9091,0.8391,0.88223,0.64469,0.95749,0.47937,1.23436,0.000120238,0.000120238,0.000120238
86,11592.3,0.50102,0.35503,0.94213,0.93084,0.82508,0.88698,0.63914,0.98524,0.47977,1.24944,0.000113169,0.000113169,0.000113169
87,11726.2,0.49471,0.35147,0.94397,0.94932,0.8234,0.88502,0.64511,0.9702,0.48102,1.24752,0.0001061,0.0001061,0.0001061
88,11860.2,0.4899,0.35323,0.94423,0.93241,0.82796,0.8827,0.64785,0.95679,0.47947,1.23634,9.90318e-05,9.90318e-05,9.90318e-05
89,11994.0,0.48583,0.35028,0.94244,0.94985,0.81969,0.88729,0.65062,0.96322,0.47982,1.23902,9.19632e-05,9.19632e-05,9.19632e-05
90,12128.8,0.48599,0.34317,0.93987,0.92295,0.83984,0.88844,0.64631,0.96737,0.47415,1.25819,8.48946e-05,8.48946e-05,8.48946e-05
91,12261.8,0.48416,0.29507,0.9273,0.92026,0.83033,0.87589,0.63035,0.98025,0.49592,1.25466,7.7826e-05,7.7826e-05,7.7826e-05
92,12394.3,0.46545,0.2797,0.91512,0.9425,0.82601,0.886,0.64644,0.96836,0.47598,1.24558,7.07574e-05,7.07574e-05,7.07574e-05
93,12528.7,0.45882,0.27631,0.91235,0.9412,0.83789,0.89149,0.653,0.96686,0.47475,1.24715,6.36888e-05,6.36888e-05,6.36888e-05
94,12664.1,0.45671,0.27737,0.91504,0.95026,0.82365,0.88867,0.65288,0.9487,0.47487,1.22848,5.66202e-05,5.66202e-05,5.66202e-05
95,12801.0,0.45196,0.27288,0.9114,0.93096,0.8456,0.89047,0.64938,0.94933,0.47579,1.23429,4.95516e-05,4.95516e-05,4.95516e-05
96,12939.0,0.4492,0.2673,0.90821,0.9283,0.83963,0.89088,0.64828,0.95835,0.48031,1.24748,4.2483e-05,4.2483e-05,4.2483e-05
97,13076.0,0.44056,0.26603,0.90619,0.93213,0.8448,0.89247,0.64991,0.96588,0.48448,1.25773,3.54144e-05,3.54144e-05,3.54144e-05
98,13213.3,0.43599,0.26098,0.90252,0.9299,0.83372,0.88927,0.65134,0.96274,0.48228,1.24899,2.83458e-05,2.83458e-05,2.83458e-05
99,13350.4,0.42887,0.25966,0.90122,0.92807,0.84761,0.89279,0.65537,0.95163,0.47639,1.24522,2.12772e-05,2.12772e-05,2.12772e-05
100,13488.8,0.42669,0.25918,0.90059,0.9332,0.84093,0.89388,0.65275,0.95147,0.47499,1.24332,1.42086e-05,1.42086e-05,1.42086e-05
