timestamp,violation,confidence,severity,frame,location,person_id,metadata
2025-09-30 12:22:45,Person,2.0,None,1,"(0,0,0,0)",0,{'total_persons': 2}
2025-09-30 12:22:45,NO-Mask,0.9221867918968201,Low,1,"(119.8221435546875,62.32032775878906,651.2568359375,383.29559326171875)",1,None
2025-09-30 12:22:50,NO-Hardhat,0.8727076053619385,High,1,"(71.330078125,-50.24834442138672,645.3178100585938,87.16390228271484)",1,None
2025-09-30 12:22:50,NO-Safety Vest,0.8240889310836792,Medium,1,"(-56.98657989501953,25.964447021484375,57.07910919189453,503.6658020019531)",2,None
2025-09-30 12:22:52,Person,1.0,None,3,"(0,0,0,0)",0,{'total_persons': 1}
2025-09-30 12:22:52,NO-Hardhat,0.8718303442001343,High,3,"(-54.96075439453125,-57.45722198486328,209.02410888671875,58.20270538330078)",1,None
2025-09-30 12:22:52,NO-Mask,0.8675684928894043,Low,3,"(49.369659423828125,79.57438659667969,550.733642578125,483.29388427734375)",1,None
2025-09-30 12:22:52,NO-Hardhat,0.8472968339920044,High,3,"(-25.31805419921875,-66.64684295654297,541.2750854492188,66.94356536865234)",1,None
2025-09-30 12:22:53,Person,1.0,None,5,"(0,0,0,0)",0,{'total_persons': 1}
2025-09-30 12:22:53,NO-Hardhat,0.9290217161178589,High,5,"(-47.67572784423828,-51.39935302734375,223.57577514648438,52.353599548339844)",1,None
2025-09-30 12:22:53,NO-Mask,0.9202834367752075,Low,5,"(96.99423217773438,61.136199951171875,576.046142578125,375.0898742675781)",1,None
2025-09-30 12:22:53,NO-Hardhat,0.9064245223999023,High,5,"(57.74037170410156,-51.00616455078125,563.4663696289062,87.69451904296875)",1,None
2025-09-30 12:22:53,NO-Mask,0.7673982381820679,Low,5,"(-55.20835876464844,-13.23870849609375,184.77011108398438,296.73651123046875)",1,None
2025-09-30 12:22:54,Person,1.0,None,6,"(0,0,0,0)",0,{'total_persons': 1}
2025-09-30 12:22:54,NO-Mask,0.9336938858032227,Low,6,"(94.34188842773438,58.37763977050781,577.782958984375,378.7225341796875)",1,None
2025-09-30 12:22:54,NO-Hardhat,0.9147462844848633,High,6,"(52.41697692871094,-59.562252044677734,563.9261474609375,76.93641662597656)",1,None
2025-09-30 12:22:55,Person,1.0,None,7,"(0,0,0,0)",0,{'total_persons': 1}
2025-09-30 12:22:55,NO-Mask,0.9230247139930725,Low,7,"(109.81265258789062,74.88499450683594,588.4251708984375,392.38885498046875)",1,None
2025-09-30 12:22:55,NO-Hardhat,0.9196070432662964,High,7,"(77.12588500976562,-32.04055404663086,577.1412353515625,129.3907470703125)",1,None
2025-09-30 12:22:55,NO-Hardhat,0.8577053546905518,High,7,"(-44.18510437011719,-64.45145416259766,241.23854064941406,70.3543472290039)",1,None
2025-09-30 12:22:56,Person,1.0,None,8,"(0,0,0,0)",0,{'total_persons': 1}
2025-09-30 12:22:56,NO-Hardhat,0.919237494468689,High,8,"(82.10914611816406,-14.199638366699219,568.9305419921875,151.08535766601562)",1,None
2025-09-30 12:22:56,NO-Hardhat,0.8160473108291626,High,8,"(-58.450172424316406,-62.93628692626953,231.09487915039062,64.70169067382812)",1,None
2025-09-30 12:22:56,NO-Mask,0.807061493396759,Low,8,"(106.91207885742188,77.89593505859375,575.5084228515625,391.9527587890625)",1,None
2025-09-30 12:22:57,Person,2.0,None,9,"(0,0,0,0)",0,{'total_persons': 2}
2025-09-30 12:22:57,NO-Hardhat,0.9303826093673706,High,9,"(70.652099609375,0.2389068603515625,536.2291870117188,215.14512634277344)",2,None
2025-09-30 12:22:57,NO-Hardhat,0.9071682095527649,High,9,"(-49.15455627441406,-25.778305053710938,217.31748962402344,134.22581481933594)",2,None
2025-09-30 12:22:57,NO-Safety Vest,0.8917087316513062,Medium,9,"(-161.70765686035156,-48.77397155761719,165.3143768310547,430.2559814453125)",2,None
2025-09-30 12:22:57,NO-Mask,0.8843016624450684,Low,9,"(92.33157348632812,94.58535766601562,544.8760986328125,454.2757873535156)",2,None
2025-09-30 12:22:57,NO-Safety Vest,0.7873393893241882,Medium,9,"(-17.312454223632812,108.52503967285156,483.5216064453125,588.680419921875)",2,None
2025-09-30 12:22:58,Person,1.0,None,10,"(0,0,0,0)",0,{'total_persons': 1}
2025-09-30 12:22:58,NO-Hardhat,0.9185287952423096,High,10,"(67.36416625976562,6.742942810058594,527.846435546875,224.78366088867188)",1,None
