Timestamp,Violation
2025-09-27 18:43:20,no_vest
2025-09-27 18:43:20,no_vest
2025-09-27 18:43:20,no_vest
2025-09-27 18:43:20,no_vest
2025-09-27 18:43:20,no_helmet
2025-09-27 18:43:20,no_vest
2025-09-27 18:43:21,no_vest
2025-09-27 18:43:21,no_helmet
2025-09-27 18:43:21,no_helmet
2025-09-27 18:43:22,no_vest
2025-09-27 18:43:23,no_helmet
2025-09-27 18:43:23,no_helmet
2025-09-27 18:43:25,no_helmet
2025-09-27 18:43:25,no_helmet
2025-09-27 18:43:25,no_helmet
2025-09-27 18:43:25,no_helmet
2025-09-27 18:43:25,no_helmet
2025-09-27 18:43:26,no_helmet
2025-09-27 18:43:28,no_mask
2025-09-27 18:43:28,no_helmet
2025-09-27 18:43:28,no_mask
2025-09-27 18:43:29,no_helmet
2025-09-27 18:43:29,no_mask
2025-09-27 18:43:29,no_mask
2025-09-27 18:43:29,no_mask
2025-09-27 18:43:30,no_helmet
2025-09-27 18:43:30,no_mask
2025-09-27 18:43:30,no_helmet
2025-09-27 18:43:31,no_helmet
2025-09-27 18:43:31,no_helmet
2025-09-27 18:43:31,no_helmet
2025-09-27 18:43:31,no_helmet
2025-09-27 18:43:31,no_helmet
2025-09-27 18:43:31,no_mask
2025-09-27 18:43:31,no_helmet
2025-09-27 18:43:31,no_vest
2025-09-27 18:43:31,no_mask
2025-09-27 18:43:31,no_mask
2025-09-27 18:43:31,no_vest
2025-09-27 18:43:31,no_mask
2025-09-27 18:43:31,no_vest
2025-09-27 18:43:31,no_vest
2025-09-27 18:43:31,no_vest
2025-09-27 18:43:31,no_helmet
2025-09-27 18:43:31,no_mask
2025-09-27 18:43:31,no_vest
2025-09-27 18:43:31,no_vest
2025-09-27 18:43:31,no_helmet
2025-09-27 18:43:31,no_mask
2025-09-27 18:43:32,no_helmet
2025-09-27 18:43:32,no_vest
2025-09-27 18:43:32,no_vest
2025-09-27 18:43:32,no_mask
2025-09-27 18:43:32,no_helmet
2025-09-27 18:43:32,no_vest
2025-09-27 18:43:32,no_vest
2025-09-27 18:43:32,no_mask
2025-09-27 18:43:32,no_mask
2025-09-27 18:43:33,no_vest
2025-09-27 18:43:34,no_helmet
